t,S,I,R
0.0,999.0,1.0,0.0
1.0050251256281406,998.6665008255874,1.2222029270446488,0.11129624736782694
2.0100502512562812,998.2590709857757,1.4936137277970294,0.24731528642713382
3.015075376884422,997.7614239859236,1.8250476677397716,0.4135283463366814
4.0201005025125625,997.1537358973275,2.2296567386822708,0.6166073639903007
5.025125628140703,996.4119023349181,2.723414330323897,0.864683334757999
6.030150753768844,995.5066502943029,3.325691429674164,1.1676582760228886
7.035175879396984,994.4024856896335,4.059934710806965,1.537579599559433
8.040201005025125,993.0564522633754,4.9544590517577145,1.989088684866925
9.045226130653266,991.4166835335894,6.043361462602691,2.539955003807818
10.050251256281406,989.4207328699536,7.367558746820068,3.2117083832263362
11.055276381909547,986.9936782447005,8.975940306763636,4.0303814485357945
12.060301507537687,984.0460164197522,10.926610859848815,5.027372720398986
13.065326633165828,980.4713910378142,13.288171785423078,6.240437176762716
14.070351758793969,976.1442445734198,16.140951493561136,7.714803933019015
15.07537688442211,970.9175487063992,19.578041948568092,9.504409345032466
16.08040201005025,964.6208585660271,23.705925594221043,11.673215839751666
17.08542713567839,957.0590539628947,28.644385337867007,14.296560699238151
18.09045226130653,948.0122746218918,34.52528239602801,17.462442982079903
19.09547738693467,937.2377191098925,41.48967204675461,21.272608843352657
20.100502512562812,924.4741280148244,49.682634294637275,25.84323769053805
21.105527638190953,909.4498704978741,59.24516302921003,31.304966472915453
22.110552763819094,891.8955224257431,70.30255123231969,37.8019263419368
23.115577889447234,871.5615662957492,82.94901052855015,45.48942317570019
24.120603015075375,848.2412556526466,97.22885107106296,54.52989327629
25.125628140703515,821.7976902110723,113.11546728197325,65.08684250695396
26.130653266331656,792.1928002949511,130.49054119580722,77.31665850924118
27.135678391959797,759.5144130139189,149.12709557715488,91.35849140892573
28.140703517587937,723.99634530707,168.68084407221664,107.32281062071289
29.145728643216078,686.0261197641696,188.6941868723832,125.27969336344658
30.15075376884422,646.1359507430349,208.61576551350086,145.24828374346362
31.15577889447236,604.9753653227718,227.8356194146056,167.18901526262204
32.1608040201005,563.2675460141492,245.73243561046283,191.0000183753875
33.16582914572864,521.755438525715,261.7259565103981,216.5186049638863
34.17085427135678,481.14612606875926,275.3259533670239,243.52792056421626
35.175879396984925,442.0622795618127,286.1697196837915,271.76800075439513
36.18090452261306,405.0074384200613,294.0427809558303,300.9497806241078
37.1859296482412,370.3483228018645,298.88141030748767,330.7702668906471
38.19095477386934,338.313639268865,300.75923055943616,360.9271301716983
39.19597989949749,309.0060171997562,299.86263674564043,391.13134605460283
40.201005025125625,282.4223611001574,296.4606038662664,421.1170350335756
41.20603015075376,258.4778962945342,290.8739012267746,450.64820247869056
